ZooKeeper
Hysterix
Eureka
Consul
Thrift
Traefik
SkyDNS
AVRO
AWS Cloud Map
GRPC
CoreDNS
etcd
linkerd
SmartStack
ClusterUP
ContainerPilot
Datawire
Datawire
envoy
3scale
Registrator
Vamp
