Accumulo
Adabas
Aerospike
Airtable
AllegroGrape
Alpha Five
Altibase
Apache Derby
Apache Ignite
Arango
ArangoDB
Aster
Aurora
Bang
BangDB
BaseX
Berkeley
CSQL
CUBRID
Cassandra
Clarion
ClickHouse
Clusterpoint
Clustrix
Cockroach
CockroachDB
Coherence
Cosmos
Couch
CouchDB
Couchbase
DB2
DEX
DataEase
DataFlex
Datacom
Dataphor
Derby
Domino
Dynamo
Empress
Enterprise
EnterpriseDB
Exasol
FileMaker
Firebird
Flock
FlockDB
Foundation
FoundationDB
FrontBase
Google Fusion Tables
Greenplum
GroveSite
H2
HANA
HBase
HSQL
HSQLDB
Hazelcast
Helix database
IBM 2
IBM 2 Express-C
IBM DB2
IBM DB2 Express-C
IBM Lotus
IDMS
Ignite
Infinispan
InfiniteGraph
Infinity
InfinityDB
Infobright
Informix
Ingres
InterBase
LibreOffice Base
MUMPS
Maria
MariaDB
MarkLogic
Max
MaxDB
MemSQL
Memcache
MemcacheDB
Memcached
Microsoft Access
Microsoft Jet Database Engine (part of Microsoft Access)
Microsoft SQL Server
Microsoft SQL Server Express
Microsoft Visual FoxPro
Mimer SQL
Monet
MonetDB
Mongo
MongoDB
MySQL
Neo4j
Neptune
Netezza
Nexus
NexusDB
NonStop
Nuo
NuoDB
OWLIM
Omnis
OpenLink
OpenOffice
Oracle
Orient
OrientDB
PSQL
Panorama
Paradox
Percona
Polyhedra
PostgreSQL
Postgres
Postgress
Profium
Qizx
RBase
RDM Server
Raima Database Manager (RDM)
Redis
Rethink
RethinkDB
Riak
SAND CDBMS
SAND CMS
SAP
SAP IQ
SQL Azure
SQLBase
SQLite
SQream
SQream DB
Sci
SciDB
Scylla
Snowflake
Sparksee
Sqrrl
Teradata
TiDB
Tibero
TimesTen
Trafodion
UniData
UniVerse
Unisys RDMS 2200
Vectorwise
Velocity
Vertica
Virtuoso
Volt
VoltDB
Yugabyte
YugabyteDB
ZooKeeper
ase
dBase
db
eXtreme
eXtremeDB
mSQL
solid
solidDB
sql
