github.com/dzfweb/microsoft-microservices-book;git://github.com/awslabs/amazon-ecs-nodejs-microservices.git;B;;;;;;;M = proper microservice architecture;28;8,8%;NOT OK;51,7%
github.com/moorara/microservices-demo;git://github.com/saada/container-hive.git;M;;;;;;;S = single microservice / tool;49;15,4%;OK;48,3%
github.com/brikis98/infrastructure-as-code-talk;git://github.com/jgontrum/spacy-api-docker.git;M;;;;;;;B = Book / Blog / Article / Guide / Very Small Demo;37;11,6%;;
github.com/takama/caldera;git://github.com/FramgiaDockerTeam/laravel-microservices.git;M;;;;;;;D = Full MS Demo/Example;126;39,5%;;
github.com/lipp/login-with;git://github.com/mgoltzsche/file-service.git;M;;;;;;;T = Tool;61;19,1%;;
github.com/rafabene/tracing-demo;git://github.com/mayureshkrishna/openshift-templates.git;M;;;;;;;O = off topic;18;5,6%;;
github.com/burningmyself/micro;git://github.com/brikendr/AnnotateMeFramework.git;M;;;;;;;;319;;;
github.com/python-microservices/pyms;git://github.com/chenery/subvocal.git;M;;;;;;;;;;;
